date,workerid,amount
Fri Apr 08 09:29:16 PDT 2016,A364KJDYEBAWC9,0.3
Fri Apr 08 09:29:33 PDT 2016,A3527QDVIOHI8E,0.3
Fri Apr 08 09:30:17 PDT 2016,A3M7KQGVVLPRX8,0.3
Fri Apr 08 09:31:09 PDT 2016,AYJ21KR003B23,0.3
Fri Apr 08 09:31:14 PDT 2016,AZX848Q53S3XY,0.3
Fri Apr 08 09:31:53 PDT 2016,A1SR2BVEYAR7EH,0.3
Fri Apr 08 09:34:02 PDT 2016,AGA1PIIWM8I8D,0.3
Fri Apr 08 09:34:47 PDT 2016,A1909MOQZUXZZ5,0.3
Fri Apr 08 09:57:49 PDT 2016,A2WLGVXAVT2XTR,0.3
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
