workerid,language,enjoyment,gender,age,comments,asses,education
0,English,1,Male,47,,Yes,3
1,English,1,Male,24,,Yes,2
2,English,2,Male,44,I think I got what you wanted us to do.  ,Yes,4
3,English,2,Female,51,interesting and fun!,Yes,2
4,English,2,Female,27,Really interesting. It makes me wonder what other people picked,Yes,3
5,English,2,Male,39,,Yes,4
6,English,1,Male,34,,Yes,1
7,english,2,Female,29,,Yes,3
8,English,2,Male,60,,Yes,2
