workerid,language,enjoyment,gender,age,comments,asses,education
0,English,2,Female,21,Smooth running with no problems,Yes,2
1,English,2,Female,60,I enjoyed this!,Yes,4
2,English,2,Male,19,,Yes,2
3,,2,Male,30,,Yes,2
4,english,2,Male,21,,Yes,2
5,english,1,Male,45,,Yes,3
6,English,1,Male,32,None,Yes,2
7,english,2,Female,33,none,Yes,2
8,English,1,Male,24,,Yes,3
