date,workerid,amount
Fri Apr 08 09:28:55 PDT 2016,A12QDESPJEK5BL,0.3
Fri Apr 08 09:29:26 PDT 2016,A1YNS9M3E75Y99,0.3
Fri Apr 08 09:30:00 PDT 2016,A2FCQ5K0T1PYHS,0.3
Fri Apr 08 09:34:34 PDT 2016,A3SCEZTWZYV3BC,0.3
Fri Apr 08 09:38:17 PDT 2016,AITOOWS61SPF6,0.3
Fri Apr 08 09:38:55 PDT 2016,A2A27TLFWKDXUW,0.3
Fri Apr 08 09:39:45 PDT 2016,A1ENRX3NTUCJLZ,0.3
Fri Apr 08 09:40:21 PDT 2016,A1489QNXV5IM6O,0.3
Fri Apr 08 10:00:01 PDT 2016,A1G187YBG0DVMQ,0.3
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
