workerid,language,enjoyment,gender,age,comments,asses,education
0,English,2,Female,47,,Yes,4
1,english,1,Male,29,ty,Yes,1
2,english,2,Female,30,"Hope you had a merry christmas, and have a happy new year.",Yes,2
3,English,1,Male,35,no comments,Yes,3
4,english,2,Female,33,Thank You,Yes,3
5,english,1,Male,30,,Yes,3
6,English,1,Female,36,,Yes,4
7,English,2,Male,29,,Yes,1
8,English,2,Female,36,,Yes,4
