Value,Probability
'""',1.2710877696191855e-13
'"a fep isnt blue"',0.026051176963922916
'"the fep isnt blue"',1.1315320063001711e-11
'"a fep is blue"',0.9739488122435275
'"the fep is blue"',1.078110683065742e-8
