date,workerid,amount
Fri Apr 08 09:28:25 PDT 2016,A38QA4JJ5BSGL9,0.3
Fri Apr 08 09:30:52 PDT 2016,A6UIUV1C3DDMC,0.3
Fri Apr 08 09:33:39 PDT 2016,A2L7SLNYWQ41PA,0.3
Fri Apr 08 09:34:04 PDT 2016,A2YGAEODJ5SSF6,0.3
Fri Apr 08 09:34:47 PDT 2016,A1G71OG6RIDMEY,0.3
Fri Apr 08 09:37:08 PDT 2016,A3CF8ULBSE8MTL,0.3
Fri Apr 08 09:38:32 PDT 2016,A327IIFWCLYR8A,0.3
Fri Apr 08 09:42:26 PDT 2016,A2DPKKEEW2I6QK,0.3
Fri Apr 08 09:46:16 PDT 2016,AC4LBMA5QJJ1I,0.3
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
